epoch,accuracy,loss,val_accuracy,val_loss
0,0.35842791199684143,1.335175633430481,0.4063400626182556,1.2968847751617432
1,0.6246886253356934,1.0148448944091797,0.6340057849884033,0.9298722147941589
2,0.797121524810791,0.59427410364151,0.7146974205970764,0.7718966603279114
3,0.8510932922363281,0.4149191677570343,0.6945244669914246,0.7995869517326355
4,0.8784943222999573,0.32797771692276,0.6858789920806885,0.8504509329795837
5,0.9106006026268005,0.26279670000076294,0.6829971075057983,0.8596242666244507
6,0.9272072911262512,0.21276339888572693,0.6772334575653076,0.9590809345245361
7,0.9410462379455566,0.185217022895813,0.6772334575653076,1.0047032833099365
8,0.9487960338592529,0.15265294909477234,0.6743515729904175,1.0660858154296875
9,0.9557154774665833,0.13874344527721405,0.6599423885345459,1.1614964008331299
10,0.9601439237594604,0.1256849765777588,0.6657060384750366,1.2033538818359375
11,0.9681705236434937,0.1088637039065361,0.6772334575653076,1.2669919729232788
12,0.9703847169876099,0.09925124049186707,0.6657060384750366,1.3159905672073364
13,0.9703847169876099,0.09344229102134705,0.6714697480201721,1.3504663705825806
14,0.9731525182723999,0.08932052552700043,0.6714697480201721,1.364312767982483
15,0.973706066608429,0.07771454751491547,0.6570605039596558,1.4291024208068848
16,0.973706066608429,0.07815005630254745,0.6599423885345459,1.4614534378051758
17,0.9759202599525452,0.07544444501399994,0.6599423885345459,1.551927924156189
18,0.9759202599525452,0.07044466584920883,0.6657060384750366,1.4991925954818726
19,0.977027416229248,0.06626801192760468,0.651296854019165,1.5532305240631104
20,0.9781345129013062,0.06274965405464172,0.6685879230499268,1.6102217435836792
21,0.975643515586853,0.06484586745500565,0.6484149694442749,1.643932819366455
22,0.9775809645652771,0.06286536902189255,0.6657060384750366,1.6154170036315918
23,0.9761970639228821,0.061001237481832504,0.6541786789894104,1.6513900756835938
24,0.9781345129013062,0.055489685386419296,0.639769434928894,1.7424650192260742
